"metric" "n_bands" "simulation" "p" "method" "value"
"cv.iters" "10" "6" "50" "LASSO" NA
"cv.time.user.self" "10" "6" "50" "LASSO" 0.0410999999999922
"cv.time.sys.self" "10" "6" "50" "LASSO" 0
"cv.time.elapsed" "10" "6" "50" "LASSO" 0.0424999999999955
"cv.time.user.child" "10" "6" "50" "LASSO" NA
"cv.time.sys.child" "10" "6" "50" "LASSO" NA
"cv.all.time.user.self" "10" "6" "50" "LASSO" 4.10999999999922
"cv.all.time.sys.self" "10" "6" "50" "LASSO" 0
"cv.all.time.elapsed" "10" "6" "50" "LASSO" 4.24999999999955
"cv.all.time.user.child" "10" "6" "50" "LASSO" NA
"cv.all.time.sys.child" "10" "6" "50" "LASSO" NA
"n.cv.par" "10" "6" "50" "LASSO" 20
"lambda" "10" "7" "50" "LASSO" 0.00235511170739909
"lambdar0" "10" "7" "50" "LASSO" 0.1
"kappa" "10" "7" "50" "LASSO" 0
"condnum" "10" "7" "50" "LASSO" 42.4507949563767
"EL" "10" "7" "50" "LASSO" 0.411244992312845
"RMSE" "10" "7" "50" "LASSO" 0.00323549319490528
"F1" "10" "7" "50" "LASSO" 1
"eTPR" "10" "7" "50" "LASSO" 1
"eTNR" "10" "7" "50" "LASSO" 1
"ePPV" "10" "7" "50" "LASSO" 1
"d" "10" "7" "50" "LASSO" 0.363265306122449
"iters" "10" "7" "50" "LASSO" 12
"time.user.self" "10" "7" "50" "LASSO" 0.119999999999891
"time.sys.self" "10" "7" "50" "LASSO" 0
"time.elapsed" "10" "7" "50" "LASSO" 0.130000000000109
"time.user.child" "10" "7" "50" "LASSO" NA
"time.sys.child" "10" "7" "50" "LASSO" NA
"cv.iters" "10" "7" "50" "LASSO" NA
"cv.time.user.self" "10" "7" "50" "LASSO" 0.0415999999999985
"cv.time.sys.self" "10" "7" "50" "LASSO" 0
"cv.time.elapsed" "10" "7" "50" "LASSO" 0.0395999999999913
"cv.time.user.child" "10" "7" "50" "LASSO" NA
"cv.time.sys.child" "10" "7" "50" "LASSO" NA
"cv.all.time.user.self" "10" "7" "50" "LASSO" 4.15999999999985
"cv.all.time.sys.self" "10" "7" "50" "LASSO" 0
"cv.all.time.elapsed" "10" "7" "50" "LASSO" 3.95999999999913
"cv.all.time.user.child" "10" "7" "50" "LASSO" NA
