"metric" "n_bands" "simulation" "p" "method" "value"
"cv.time.sys.self" "3" "5" "25" "LASSO" 0
"cv.time.elapsed" "3" "5" "25" "LASSO" 0.00399999999965075
"cv.time.user.child" "3" "5" "25" "LASSO" NA
"cv.time.sys.child" "3" "5" "25" "LASSO" NA
"cv.all.time.user.self" "3" "5" "25" "LASSO" 0.150000000000091
"cv.all.time.sys.self" "3" "5" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "5" "25" "LASSO" 0.399999999965075
"cv.all.time.user.child" "3" "5" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "5" "25" "LASSO" NA
"n.cv.par" "3" "5" "25" "LASSO" 20
"lambda" "10" "5" "25" "LASSO" 0
"lambdar0" "10" "5" "25" "LASSO" 0
"kappa" "10" "5" "25" "LASSO" 0
"condnum" "10" "5" "25" "LASSO" 25.3720328042443
"EL" "10" "5" "25" "LASSO" 0.109271672180984
"RMSE" "10" "5" "25" "LASSO" 0.0054832086157314
"F1" "10" "5" "25" "LASSO" 1
"eTPR" "10" "5" "25" "LASSO" 1
"eTNR" "10" "5" "25" "LASSO" 1
"ePPV" "10" "5" "25" "LASSO" 1
"d" "10" "5" "25" "LASSO" 0.65
"iters" "10" "5" "25" "LASSO" 14
"time.user.self" "10" "5" "25" "LASSO" 0
"time.sys.self" "10" "5" "25" "LASSO" 0
"time.elapsed" "10" "5" "25" "LASSO" 0.00999999995110556
"time.user.child" "10" "5" "25" "LASSO" NA
"time.sys.child" "10" "5" "25" "LASSO" NA
"cv.iters" "10" "5" "25" "LASSO" NA
"cv.time.user.self" "10" "5" "25" "LASSO" 0.00359999999993306
"cv.time.sys.self" "10" "5" "25" "LASSO" 0
"cv.time.elapsed" "10" "5" "25" "LASSO" 0.00360000000160653
"cv.time.user.child" "10" "5" "25" "LASSO" NA
"cv.time.sys.child" "10" "5" "25" "LASSO" NA
"cv.all.time.user.self" "10" "5" "25" "LASSO" 0.359999999993306
"cv.all.time.sys.self" "10" "5" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "5" "25" "LASSO" 0.360000000160653
"cv.all.time.user.child" "10" "5" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "5" "25" "LASSO" NA
"n.cv.par" "10" "5" "25" "LASSO" 20
"lambda" "3" "6" "25" "LASSO" 0
"lambdar0" "3" "6" "25" "LASSO" 0
"kappa" "3" "6" "25" "LASSO" 0
"condnum" "3" "6" "25" "LASSO" 25.4339357967651
"EL" "3" "6" "25" "LASSO" 0.0458096392062011
"RMSE" "3" "6" "25" "LASSO" 0.00219379830048342
"F1" "3" "6" "25" "LASSO" 1
"eTPR" "3" "6" "25" "LASSO" 1
"eTNR" "3" "6" "25" "LASSO" 1
"ePPV" "3" "6" "25" "LASSO" 1
"d" "3" "6" "25" "LASSO" 0.23
"iters" "3" "6" "25" "LASSO" 11
"time.user.self" "3" "6" "25" "LASSO" 0
"time.sys.self" "3" "6" "25" "LASSO" 0
"time.elapsed" "3" "6" "25" "LASSO" 0.0199999999895226
"time.user.child" "3" "6" "25" "LASSO" NA
"time.sys.child" "3" "6" "25" "LASSO" NA
"cv.iters" "3" "6" "25" "LASSO" NA
"cv.time.user.self" "3" "6" "25" "LASSO" 0.00330000000000155
"cv.time.sys.self" "3" "6" "25" "LASSO" 0
"cv.time.elapsed" "3" "6" "25" "LASSO" 0.00340000000054715
"cv.time.user.child" "3" "6" "25" "LASSO" NA
"cv.time.sys.child" "3" "6" "25" "LASSO" NA
"cv.all.time.user.self" "3" "6" "25" "LASSO" 0.330000000000155
"cv.all.time.sys.self" "3" "6" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "6" "25" "LASSO" 0.340000000054715
"cv.all.time.user.child" "3" "6" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "6" "25" "LASSO" NA
"n.cv.par" "3" "6" "25" "LASSO" 20
"lambda" "10" "6" "25" "LASSO" 0
"lambdar0" "10" "6" "25" "LASSO" 0
"kappa" "10" "6" "25" "LASSO" 0
"condnum" "10" "6" "25" "LASSO" 22.8747852191283
"EL" "10" "6" "25" "LASSO" 0.109465013989773
"RMSE" "10" "6" "25" "LASSO" 0.00575668820625756
"F1" "10" "6" "25" "LASSO" 1
"eTPR" "10" "6" "25" "LASSO" 1
"eTNR" "10" "6" "25" "LASSO" 1
"ePPV" "10" "6" "25" "LASSO" 1
"d" "10" "6" "25" "LASSO" 0.65
"iters" "10" "6" "25" "LASSO" 13
"time.user.self" "10" "6" "25" "LASSO" 0
"time.sys.self" "10" "6" "25" "LASSO" 0
"time.elapsed" "10" "6" "25" "LASSO" 0.0100000000093132
"time.user.child" "10" "6" "25" "LASSO" NA
"time.sys.child" "10" "6" "25" "LASSO" NA
"cv.iters" "10" "6" "25" "LASSO" NA
"cv.time.user.self" "10" "6" "25" "LASSO" 0.0036000000002241
"cv.time.sys.self" "10" "6" "25" "LASSO" 0.000199999999999818
"cv.time.elapsed" "10" "6" "25" "LASSO" 0.00399999999965075
"cv.time.user.child" "10" "6" "25" "LASSO" NA
"cv.time.sys.child" "10" "6" "25" "LASSO" NA
"cv.all.time.user.self" "10" "6" "25" "LASSO" 0.36000000002241
"cv.all.time.sys.self" "10" "6" "25" "LASSO" 0.0199999999999818
"cv.all.time.elapsed" "10" "6" "25" "LASSO" 0.399999999965075
"cv.all.time.user.child" "10" "6" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "6" "25" "LASSO" NA
"n.cv.par" "10" "6" "25" "LASSO" 20
"lambda" "3" "7" "25" "LASSO" 0
"lambdar0" "3" "7" "25" "LASSO" 0
"kappa" "3" "7" "25" "LASSO" 0
"condnum" "3" "7" "25" "LASSO" 24.4763167227583
"EL" "3" "7" "25" "LASSO" 0.049987240108333
"RMSE" "3" "7" "25" "LASSO" 0.00223108529350108
"F1" "3" "7" "25" "LASSO" 1
"eTPR" "3" "7" "25" "LASSO" 1
"eTNR" "3" "7" "25" "LASSO" 1
"ePPV" "3" "7" "25" "LASSO" 1
"d" "3" "7" "25" "LASSO" 0.23
"iters" "3" "7" "25" "LASSO" 11
"time.user.self" "3" "7" "25" "LASSO" 0
"time.sys.self" "3" "7" "25" "LASSO" 0
"time.elapsed" "3" "7" "25" "LASSO" 0
"time.user.child" "3" "7" "25" "LASSO" NA
"time.sys.child" "3" "7" "25" "LASSO" NA
"cv.iters" "3" "7" "25" "LASSO" NA
"cv.time.user.self" "3" "7" "25" "LASSO" 0.00310000000000059
"cv.time.sys.self" "3" "7" "25" "LASSO" 0
"cv.time.elapsed" "3" "7" "25" "LASSO" 0.00309999999997672
"cv.time.user.child" "3" "7" "25" "LASSO" NA
"cv.time.sys.child" "3" "7" "25" "LASSO" NA
"cv.all.time.user.self" "3" "7" "25" "LASSO" 0.310000000000059
"cv.all.time.sys.self" "3" "7" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "7" "25" "LASSO" 0.309999999997672
"cv.all.time.user.child" "3" "7" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "7" "25" "LASSO" NA
"n.cv.par" "3" "7" "25" "LASSO" 20
"lambda" "10" "7" "25" "LASSO" 0
"lambdar0" "10" "7" "25" "LASSO" 0
