"metric" "n_bands" "simulation" "n" "method" "value"
"RMSE" "C" "C" "B" "MLE" 0.0149631618482754
"kappa" "A" "D" "B" "MLE" 0
"condnum" "A" "D" "B" "MLE" 75.4335044622474
"EL" "A" "D" "B" "MLE" 1.43008705966865
"RMSE" "A" "D" "B" "MLE" 0.00138129312438368
"kappa" "B" "D" "B" "MLE" 0
"condnum" "B" "D" "B" "MLE" 97.6818686114063
"EL" "B" "D" "B" "MLE" 6.30962250484647
"RMSE" "B" "D" "B" "MLE" 0.0082783873905477
"kappa" "C" "D" "B" "MLE" 0
"condnum" "C" "D" "B" "MLE" 277.744898961995
"EL" "C" "D" "B" "MLE" 13.3453432735203
"RMSE" "C" "D" "B" "MLE" 0.014269360501702
"kappa" "A" "E" "B" "MLE" 0
"condnum" "A" "E" "B" "MLE" 58.7821898088723
"EL" "A" "E" "B" "MLE" 1.52542853669673
"RMSE" "A" "E" "B" "MLE" 0.00109172214757057
"kappa" "B" "E" "B" "MLE" 0
"condnum" "B" "E" "B" "MLE" 141.931500594934
"EL" "B" "E" "B" "MLE" 5.95194759924841
"RMSE" "B" "E" "B" "MLE" 0.00744267943829299
"kappa" "C" "E" "B" "MLE" 0
"condnum" "C" "E" "B" "MLE" 257.504166454868
"EL" "C" "E" "B" "MLE" 14.5015366590427
"RMSE" "C" "E" "B" "MLE" 0.0152333742162777
"kappa" "A" "F" "B" "MLE" 0
"condnum" "A" "F" "B" "MLE" 73.103941055674
"EL" "A" "F" "B" "MLE" 1.61866223221219
"RMSE" "A" "F" "B" "MLE" 0.00105166565121106
"kappa" "B" "F" "B" "MLE" 0
"condnum" "B" "F" "B" "MLE" 112.28039189147
"EL" "B" "F" "B" "MLE" 6.72941296738909
"RMSE" "B" "F" "B" "MLE" 0.00847662068171673
"kappa" "C" "F" "B" "MLE" 0
"condnum" "C" "F" "B" "MLE" 330.811591806663
"EL" "C" "F" "B" "MLE" 13.8270211996414
"RMSE" "C" "F" "B" "MLE" 0.0154504608170969
"kappa" "A" "G" "B" "MLE" 0
"condnum" "A" "G" "B" "MLE" 64.9103589494141
"EL" "A" "G" "B" "MLE" 1.46485617456927
"RMSE" "A" "G" "B" "MLE" 0.00109538071613659
"kappa" "B" "G" "B" "MLE" 0
"condnum" "B" "G" "B" "MLE" 181.809060528283
"EL" "B" "G" "B" "MLE" 7.44465609600035
"RMSE" "B" "G" "B" "MLE" 0.00880277768470414
"kappa" "C" "G" "B" "MLE" 0
"condnum" "C" "G" "B" "MLE" 147.961000940085
"EL" "C" "G" "B" "MLE" 13.7064539910872
"RMSE" "C" "G" "B" "MLE" 0.0136609109470505
"kappa" "A" "H" "B" "MLE" 0
"condnum" "A" "H" "B" "MLE" 90.6389982617048
"EL" "A" "H" "B" "MLE" 1.53382315069814
"RMSE" "A" "H" "B" "MLE" 0.00116029609388971
"kappa" "B" "H" "B" "MLE" 0
"condnum" "B" "H" "B" "MLE" 113.044502280445
"EL" "B" "H" "B" "MLE" 6.60360317480792
"RMSE" "B" "H" "B" "MLE" 0.008557733273076
"kappa" "C" "H" "B" "MLE" 0
"condnum" "C" "H" "B" "MLE" 263.064835554923
"EL" "C" "H" "B" "MLE" 13.8323211663541
"RMSE" "C" "H" "B" "MLE" 0.014962782561036
"kappa" "A" "I" "B" "MLE" 0
"condnum" "A" "I" "B" "MLE" 66.1487804906046
"EL" "A" "I" "B" "MLE" 1.28423581366978
"RMSE" "A" "I" "B" "MLE" 0.00104081396789846
"kappa" "B" "I" "B" "MLE" 0
"condnum" "B" "I" "B" "MLE" 137.667023178559
"EL" "B" "I" "B" "MLE" 6.75915808455826
"RMSE" "B" "I" "B" "MLE" 0.00831361235360462
"kappa" "C" "I" "B" "MLE" 0
"condnum" "C" "I" "B" "MLE" 303.732236741743
"EL" "C" "I" "B" "MLE" 13.4213835139479
"RMSE" "C" "I" "B" "MLE" 0.0146245543813004
"kappa" "A" "J" "B" "MLE" 0
"condnum" "A" "J" "B" "MLE" 90.0494272677231
"EL" "A" "J" "B" "MLE" 1.45832395745927
"RMSE" "A" "J" "B" "MLE" 0.00112372740668416
"kappa" "B" "J" "B" "MLE" 0
"condnum" "B" "J" "B" "MLE" 92.1662900664793
"EL" "B" "J" "B" "MLE" 6.32738366444291
"RMSE" "B" "J" "B" "MLE" 0.00851102963674412
"kappa" "C" "J" "B" "MLE" 0
"condnum" "C" "J" "B" "MLE" 508.475497666356
"EL" "C" "J" "B" "MLE" 15.9778209160821
"RMSE" "C" "J" "B" "MLE" 0.0161692389501756
"kappa" "A" "K" "B" "MLE" 0
"condnum" "A" "K" "B" "MLE" 71.0251693681286
"EL" "A" "K" "B" "MLE" 1.27659250229097
"RMSE" "A" "K" "B" "MLE" 0.00102165949240782
"kappa" "B" "K" "B" "MLE" 0
"condnum" "B" "K" "B" "MLE" 163.464384645647
"EL" "B" "K" "B" "MLE" 6.77383029559732
"RMSE" "B" "K" "B" "MLE" 0.00824522063535793
"kappa" "C" "K" "B" "MLE" 0
"condnum" "C" "K" "B" "MLE" 446.159235754513
"EL" "C" "K" "B" "MLE" 13.6511531096595
"RMSE" "C" "K" "B" "MLE" 0.015875484293318
"kappa" "A" "L" "B" "MLE" 0
"condnum" "A" "L" "B" "MLE" 59.5399505018968
"EL" "A" "L" "B" "MLE" 1.05766674376864
"RMSE" "A" "L" "B" "MLE" 0.000998544602628624
"kappa" "B" "L" "B" "MLE" 0
"condnum" "B" "L" "B" "MLE" 174.01548926854
"EL" "B" "L" "B" "MLE" 6.22747431439117
"RMSE" "B" "L" "B" "MLE" 0.00837330189016675
"kappa" "C" "L" "B" "MLE" 0
"condnum" "C" "L" "B" "MLE" 457.442869434095
"EL" "C" "L" "B" "MLE" 15.5323845855936
"RMSE" "C" "L" "B" "MLE" 0.0151910394308495
"kappa" "A" "M" "B" "MLE" 0
"condnum" "A" "M" "B" "MLE" 71.2095976346682
"EL" "A" "M" "B" "MLE" 1.27104925394963
"RMSE" "A" "M" "B" "MLE" 0.00105245452105396
"kappa" "B" "M" "B" "MLE" 0
"condnum" "B" "M" "B" "MLE" 141.960147364647
"EL" "B" "M" "B" "MLE" 6.22204267800242
"RMSE" "B" "M" "B" "MLE" 0.00873219601540218
"kappa" "C" "M" "B" "MLE" 0
"condnum" "C" "M" "B" "MLE" 251.853396096522
"EL" "C" "M" "B" "MLE" 14.2252636451383
"RMSE" "C" "M" "B" "MLE" 0.0158858062325125
"kappa" "A" "N" "B" "MLE" 0
"condnum" "A" "N" "B" "MLE" 88.2096586738491
"EL" "A" "N" "B" "MLE" 1.57878583444762
"RMSE" "A" "N" "B" "MLE" 0.00101642307516372
"kappa" "B" "N" "B" "MLE" 0
"condnum" "B" "N" "B" "MLE" 108.196440940315
